@RELATION "new relation"

@ATTRIBUTE beatInMeasure REAL
@ATTRIBUTE metricStrength {3, 2, 1, 0}
@ATTRIBUTE numberOfNotes INTEGER
@ATTRIBUTE duration REAL
@ATTRIBUTE locationInPiece REAL
@ATTRIBUTE pitchX2 REAL
@ATTRIBUTE pitchX1 REAL
@ATTRIBUTE pitchX0 REAL
@ATTRIBUTE pitchContourX2 REAL
@ATTRIBUTE pitchContourX1 REAL
@ATTRIBUTE pitchContourX0 REAL
@ATTRIBUTE rhythmDrops {TRUE, FALSE}
@ATTRIBUTE rhythmRises {TRUE, FALSE}
@ATTRIBUTE rhythmContourX2 REAL
@ATTRIBUTE rhythmContourX1 REAL
@ATTRIBUTE rhythmContourX0 REAL
@ATTRIBUTE locationStrongestNote REAL
@ATTRIBUTE pieceKey INTEGER
@ATTRIBUTE pieceMode {Major, Minor}
@ATTRIBUTE probChord_I REAL
@ATTRIBUTE probChord_II REAL
@ATTRIBUTE probChord_III REAL
@ATTRIBUTE probChord_IV REAL
@ATTRIBUTE probChord_V REAL
@ATTRIBUTE probChord_VI REAL
@ATTRIBUTE probChord_VII REAL
@ATTRIBUTE initalChord {0, 1, 2, 3, 4, 5, 6}
@ATTRIBUTE finalChord {0, 1, 2, 3, 4, 5, 6}
@ATTRIBUTE hasDissonance {TRUE, FALSE}
@ATTRIBUTE dissonanceLocation REAL
@ATTRIBUTE isSoloPiece {TRUE, FALSE}
@ATTRIBUTE pieceId INTEGER
@ATTRIBUTE motifId INTEGER
@ATTRIBUTE dynamicsX2 REAL
@ATTRIBUTE dynamicsX1 REAL
@ATTRIBUTE dynamicsX0 REAL

@DATA
0.0,3,11,22.25,0.10835214446952596,10.955710955711025,-14.592074592074662,9.643356643356661,25.524475524475605,-21.979020979021055,2.510489510489528,TRUE,TRUE,18.98558758251321,-12.426274943601875,1.8203991127389396,0.0,5,Minor,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,1,3,TRUE,0.6000000000000001,FALSE,2282,0,-1.9164433905352019,8.341050239287881,-33.88599687550058
2.25,0,9,11.0,0.208803611738149,-3.186147186147212,-6.413852813852788,9.890909090909085,5.9567099567099575,-8.89004329004329,1.5575757575757596,TRUE,TRUE,139.96583596710533,-100.64691704853544,9.69967240010478,1.0,5,Minor,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0,1,FALSE,0,FALSE,2282,1,10.581463014605086,-12.20919228087047,-31.7594114534274
1.25,2,6,1.5,0.2584650112866817,1.339285714285712,0.8035714285714312,0.6071428571428568,-4.017857142857139,6.58928571428571,-1.821428571428571,FALSE,TRUE,-2.17181467035386,2.866795364867096,0.20077220130977874,0.0,5,Minor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,FALSE,0,FALSE,2282,2,-19.40488893900933,17.565996224701166,-34.478295688101454
2.75,0,15,2.25,0.2652370203160271,4.339366515837112,-8.839366515837112,5.388235294117647,8.219457013574655,-8.56945701357466,1.4470588235294117,TRUE,TRUE,-0.7364253393665143,0.7614253393665166,0.8735294117647056,0.5882353,5,Minor,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,4,0,FALSE,0,FALSE,2282,3,-18.54359789283369,14.891838402930174,-36.62246549702301
1.0,2,4,1.5,0.27539503386004516,-1.3436461580429074e-15,-4.199999999999998,4.1,-1.0077346185321804e-15,0.6000000000000002,-1.7999999999999998,TRUE,TRUE,7.875000000000003,-10.725000000000001,3.9250000000000007,0.0,5,Minor,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0,1,TRUE,1.0,FALSE,2282,4,2.2229092399795123,7.791253504815085,-38.27243738917562
2.5,0,3,8.0,0.28216704288939054,24.000000000000004,-12.000000000000009,-1.5383701491068513e-15,26.000000000000007,-15.000000000000007,1.0000000000000007,TRUE,FALSE,-17.000000000000014,16.500000000000018,2.000000000000001,1.0,5,Minor,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,FALSE,0,FALSE,2282,5,-0.08729091984190884,12.425353149553017,-37.777469650032884
2.5,0,7,8.0,0.3182844243792325,1.7142857142857113,-1.7142857142857122,0.8095238095238096,-2.9999999999999916,4.928571428571421,-1.6666666666666659,TRUE,TRUE,23.809523811297765,-13.916666668972812,1.2691798948106356,1.0,5,Minor,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,4,2,TRUE,0.16666666666666666,FALSE,2282,6,24.673953700393376,-19.403373340782817,-30.254036437698442
2.5,0,3,1.5,0.3544018058690745,8.000000000000009,-10.000000000000009,2.9999999999999982,12.000000000000004,-10.000000000000009,-0.9999999999999982,FALSE,TRUE,-1.846153840422632,2.769230760633948,0.07692307978868497,0.5,5,Minor,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0,4,TRUE,0.0,FALSE,2282,7,-6.644015992547176,3.657915082962713,-25.229042632597707
0.0,3,6,4.0,0.3611738148984199,-0.44642857142859377,-7.696428571428552,8.178571428571425,21.428571428571406,-28.571428571428548,6.428571428571424,TRUE,TRUE,4.761904757469886,-5.904761904584504,2.428571431764533,0.0,5,Minor,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0,0,TRUE,0.8,FALSE,2282,8,-26.4799505354563,21.274853846074336,-30.996804903355283
0.0,3,8,1.0,0.3792325056433409,-7.893085490971001e-16,0.333333333333333,0.33333333333333365,2.187042438123215e-15,0.6666666666666641,-0.3333333333333328,FALSE,TRUE,-1.5312500000000024,1.9687500000000016,0.4687500000000002,0.0,5,Minor,0.125,0.0,0.0,0.0,0.0,0.125,0.125,1,0,TRUE,0.0,FALSE,2282,9,7.026436667636431,-8.700944094852069,-31.857661931654974
